method,day,log_loss,brier,pr_auc,n,n_train,fit_time
m1_global_mix,5,0.3899724125362711,0.12517641449663733,0.7783923895139667,3000,24000,0.07815718650817871
m1_global_mix,6,0.40186309171599466,0.13042039643824632,0.7049809852181298,3000,27000,0.09317541122436523
m1_global_mix,7,0.46891599437476333,0.1522331206048092,0.5306640212179653,3000,30000,0.10770654678344727
m1_global_mix,8,0.5435916909488825,0.17606170652951064,0.43126005343932916,3000,33000,0.10945892333984375
m1_global_mix,9,0.5479136754185803,0.17801921755872388,0.3815256170517658,3000,36000,0.11754798889160156
m1_global_mix,10,0.4859466616461003,0.1582664350986323,0.49906509936561255,3000,39000,0.13096976280212402
m1_global_mix,11,0.42615919333625735,0.13752222135048986,0.6248779767006531,3000,42000,0.13970327377319336
m1_global_mix,12,0.39282070828578086,0.1254468479225346,0.6818800502651715,3000,45000,0.14500141143798828
m1_global_mix,13,0.3815253402540071,0.12262998537438605,0.6364725807911521,3000,48000,0.15013647079467773
m1_global_mix,14,0.4200939889115912,0.1370738874099296,0.5908084653509995,3000,51000,0.16512370109558105
m1_global_mix,15,0.4462028672802817,0.1465249285668132,0.6168398961999589,3000,54000,0.1615147590637207
m1_global_mix,16,0.47483610181907066,0.15709505404643415,0.6708592496423845,3000,57000,0.1741313934326172
m1_global_mix,17,0.4910509283109251,0.1618389505911648,0.669659305867746,3000,60000,0.1808152198791504
m1_global_mix,18,0.46205334666257136,0.15297342204494147,0.7070826932469725,3000,63000,0.18289566040039062
m1_global_mix,19,0.39958268681994175,0.12770847231448276,0.774064958501779,3000,66000,0.18338894844055176
m1_global_mix,20,0.39560425885527556,0.12847686522500348,0.6945398877590906,3000,69000,0.1983659267425537
m1_global_mix,21,0.40250104198471276,0.12907256257640967,0.5979344788791989,3000,72000,0.20682430267333984
m1_global_mix,22,0.43104122594666305,0.1388573501119827,0.5309520717838478,3000,75000,0.21271657943725586
m1_global_mix,23,0.482188468346233,0.1571817275914893,0.456682484115738,3000,78000,0.22224092483520508
m1_global_mix,24,0.49954974909902194,0.163829548161679,0.4808932075575444,3000,81000,0.24088549613952637
m1_global_mix,25,0.4113556125109478,0.13224988357011958,0.6484976707778214,3000,84000,0.22977137565612793
m1_global_mix,26,0.36222912626861264,0.11408999023198926,0.6879577134685214,3000,87000,0.24507594108581543
m1_global_mix,27,0.38270775171165605,0.12403075846782896,0.6223250606554733,3000,90000,0.2492814064025879
m1_global_mix,28,0.41835851888914377,0.1361966962288565,0.5991693077134453,3000,93000,0.27379846572875977
m1_global_mix,29,0.44594307968990043,0.14507940750976936,0.5882642054869005,3000,96000,0.27066779136657715
m1_global_mix,30,0.4614977560674806,0.15211956466503762,0.6696482196996507,3000,99000,0.27886414527893066
m1_global_mix,31,0.4785531592937538,0.15946427977355257,0.6744114587486162,3000,102000,0.2716858386993408
m1_global_mix,32,0.46713913467407847,0.15322085144623052,0.7358377936578537,3000,105000,0.3087894916534424
m1_global_mix,33,0.4130255054644513,0.1325493426230643,0.752586701031051,3000,108000,0.2907838821411133
m1_global_mix,34,0.404709089184993,0.13177005116722545,0.7064423764815475,3000,111000,0.2843310832977295
m1_global_mix,35,0.41865709523322825,0.1357161464146378,0.6207257681895257,3000,114000,0.2940366268157959
m1_global_mix,36,0.43306309271874033,0.14000214712573775,0.5605974990270052,3000,117000,0.3228132724761963
m1_global_mix,37,0.4308760159664743,0.1394184747110466,0.5283620506616576,3000,120000,0.3434617519378662
m1_global_mix,38,0.46217776372287367,0.15045428270765246,0.5133430981453843,3000,123000,0.36295056343078613
m1_global_mix,39,0.4242083821397194,0.1368980499266543,0.6257868801224068,3000,126000,0.33351755142211914
m1_global_mix,40,0.3618907556363475,0.11486441229494301,0.6831556723762523,3000,129000,0.3677096366882324
m1_global_mix,41,0.3664945119340564,0.11646634917232528,0.6432777110824437,3000,132000,0.3655078411102295
m1_global_mix,42,0.3977506842703212,0.12850600776796683,0.6072672069463947,3000,135000,0.33068346977233887
m1_global_mix,43,0.4351210045398408,0.14290517013044396,0.6281805457245337,3000,138000,0.38583874702453613
m1_global_mix,44,0.4644598843590103,0.1530711182998605,0.6721665610099996,3000,141000,0.42825746536254883
m1_global_mix,45,0.48412048502732,0.15999898300147963,0.64971328877396,3000,144000,0.41674208641052246
m1_global_mix,46,0.44823661581814184,0.14715206083619645,0.6956519638954833,3000,147000,0.44823694229125977
m1_global_mix,47,0.4080256698833215,0.13132343478152517,0.7218571515905159,3000,150000,0.3673369884490967
m1_global_mix,48,0.39482093355625997,0.12671882901165335,0.6949669970874666,3000,153000,0.5595705509185791
m1_global_mix,49,0.4071863406071841,0.13185404036676857,0.5907104309782621,3000,156000,0.4261491298675537
m1_global_mix,50,0.4236672003501978,0.13714140856842183,0.5601700072040267,3000,159000,0.42594242095947266
m1_global_mix,51,0.4495119858910281,0.1460206906155107,0.533841531983113,3000,162000,0.57635498046875
m1_global_mix,52,0.4838720320851068,0.15743050341040876,0.5009923890720012,3000,165000,0.4648702144622803
m1_global_mix,53,0.4015519351969907,0.12790331264071866,0.608740744994443,3000,168000,0.519181489944458
m1_global_mix,54,0.37986505590815733,0.12053699727669603,0.6566441965203986,3000,171000,0.4322490692138672
m1_global_mix,55,0.3733192714852753,0.11977578807013316,0.6324408298534787,3000,174000,0.49736928939819336
m1_global_mix,56,0.39759625265546783,0.1284281916370079,0.6141212105626022,3000,177000,0.5038673877716064
m1_global_mix,57,0.4327517738598017,0.1415544577508358,0.6125352743165706,3000,180000,0.5249669551849365
m1_global_mix,58,0.4732744258473584,0.15643975254962117,0.684991212083447,3000,183000,0.5119707584381104
m1_global_mix,59,0.5021387422075031,0.16653146666378071,0.6539348666351165,3000,186000,0.5443248748779297
