method,day,log_loss,brier,pr_auc,n,n_train,fit_time
expanding,4,0.4300309070984455,0.14042132364576,0.6939137739949637,3000,12000,0.0702998638153076
rolling_1,4,0.6552182574193511,0.1899218745112377,0.576811760547537,3000,3000,0.0084152221679687
rolling_3,4,0.4234287834018873,0.1372123188966914,0.7116164114773668,3000,9000,0.0355761051177978
rolling_7,4,0.4300309070984455,0.14042132364576,0.6939137739949637,3000,12000,0.0521762371063232
rolling_14,4,0.4300309070984455,0.14042132364576,0.6939137739949637,3000,12000,0.0519983768463134
decay_hl1,4,0.430870879754522,0.1394495292168514,0.7030097974120703,3000,12000,0.0284910202026367
decay_hl3,4,0.416959527188376,0.1356114759576426,0.7090287981185197,3000,12000,0.0394058227539062
decay_hl7,4,0.4225029940436952,0.1377765288190781,0.7015957723594562,3000,12000,0.0431981086730957
expanding,5,0.3904899067717375,0.1247051712417537,0.7239949878949359,3000,15000,0.0537765026092529
rolling_1,5,0.6350170791599272,0.1888870000389932,0.5418061851528191,3000,3000,0.0088703632354736
rolling_3,5,0.4214378771148716,0.1346617137035447,0.6838134870484697,3000,9000,0.032881736755371
rolling_7,5,0.3904899067717375,0.1247051712417537,0.7239949878949359,3000,15000,0.0538668632507324
rolling_14,5,0.3904899067717375,0.1247051712417537,0.7239949878949359,3000,15000,0.0534336566925048
decay_hl1,5,0.4199070799259503,0.1341516131918821,0.694116342241638,3000,15000,0.0349090099334716
decay_hl3,5,0.3887694305176887,0.1238047466211578,0.728353824039472,3000,15000,0.0400817394256591
decay_hl7,5,0.3876693096345165,0.1236221781720648,0.7273359108370384,3000,15000,0.0467233657836914
expanding,6,0.4102436499760294,0.1316816122570336,0.7014322883632763,3000,18000,0.0671455860137939
rolling_1,6,0.7232995682131914,0.2020308086014421,0.5091945862141699,3000,3000,0.0089111328125
rolling_3,6,0.4958226229272962,0.1585095127798863,0.6220644643200913,3000,9000,0.0343637466430664
rolling_7,6,0.4102436499760294,0.1316816122570336,0.7014322883632763,3000,18000,0.0677337646484375
rolling_14,6,0.4102436499760294,0.1316816122570336,0.7014322883632763,3000,18000,0.0672345161437988
decay_hl1,6,0.4550390207145791,0.1471378986098101,0.6350070824981101,3000,18000,0.0365095138549804
decay_hl3,6,0.4187911995029912,0.1346689491592656,0.6859577241596744,3000,18000,0.047999620437622
decay_hl7,6,0.4112964405860133,0.13204333456676,0.697358455579961,3000,18000,0.0563433170318603
expanding,7,0.463738063007715,0.1503607174878497,0.6015911263276471,3000,21000,0.0695095062255859
rolling_1,7,0.760566789931269,0.2091964734540544,0.4589171634610817,3000,3000,0.0088307857513427
rolling_3,7,0.5447333563044157,0.1734835622270887,0.5327381944735455,3000,9000,0.0373330116271972
rolling_7,7,0.463738063007715,0.1503607174878497,0.6015911263276471,3000,21000,0.0698812007904052
rolling_14,7,0.463738063007715,0.1503607174878497,0.6015911263276471,3000,21000,0.0697720050811767
decay_hl1,7,0.4797476702909978,0.1568977585246111,0.5484568859670096,3000,21000,0.039717674255371
decay_hl3,7,0.4645520047758149,0.1517713902042736,0.58140064847623,3000,21000,0.0565872192382812
decay_hl7,7,0.4628080046177727,0.1506504523101159,0.5934478523593227,3000,21000,0.0664894580841064
expanding,8,0.5690820183748777,0.1844251729241072,0.5141635130471137,3000,24000,0.0811362266540527
rolling_1,8,0.8613157171394902,0.2311932675166466,0.4640971235978271,3000,3000,0.0088851451873779
rolling_3,8,0.6288891467819941,0.1989381632581278,0.4967037744727902,3000,9000,0.0356426239013671
rolling_7,8,0.6024466208956494,0.1942570989746716,0.4863459434444818,3000,21000,0.06992769241333
rolling_14,8,0.5690820183748777,0.1844251729241072,0.5141635130471137,3000,24000,0.0814769268035888
decay_hl1,8,0.5283599312306981,0.1766730706687207,0.5157519517095362,3000,24000,0.0451960563659668
decay_hl3,8,0.5410963727459286,0.179209335792191,0.5145979997557777,3000,24000,0.0602447986602783
decay_hl7,8,0.5554384285197221,0.1821104748221137,0.512432816227518,3000,24000,0.0644221305847168
expanding,9,0.6341331408569802,0.2069715805435465,0.464276713368293,3000,27000,0.0848844051361084
rolling_1,9,0.7266974353494697,0.2037482966218038,0.5285735389088606,3000,3000,0.0088670253753662
rolling_3,9,0.5545403566451373,0.1777863424642725,0.5804282619222328,3000,9000,0.0394618511199951
rolling_7,9,0.6667896892360731,0.2162168897725171,0.4441784977849687,3000,21000,0.0694937705993652
rolling_14,9,0.6341331408569802,0.2069715805435465,0.464276713368293,3000,27000,0.0822024345397949
decay_hl1,9,0.5084556611284258,0.1682443030462268,0.5830282437552803,3000,27000,0.0508358478546142
decay_hl3,9,0.5526823384255455,0.1840924393562459,0.5116701490615668,3000,27000,0.0682253837585449
decay_hl7,9,0.5935239024026285,0.1963944775786623,0.4825379046076134,3000,27000,0.0727972984313964
expanding,10,0.6148089604763908,0.2020823716771489,0.4910928763696101,3000,30000,0.098834753036499
rolling_1,10,0.6591257653148924,0.1926072286803596,0.6111386329298667,3000,3000,0.0088939666748046
rolling_3,10,0.4897885218727041,0.1567555731754039,0.6776099608955843,3000,9000,0.038062572479248
rolling_7,10,0.607673092767703,0.2005131577070976,0.4983557657930911,3000,21000,0.0728890895843505
rolling_14,10,0.6148089604763908,0.2020823716771489,0.4910928763696101,3000,30000,0.0985145568847656
decay_hl1,10,0.4928124775722364,0.1622655673480887,0.6843620186886923,3000,30000,0.0576541423797607
decay_hl3,10,0.5213743645856932,0.1736328495577815,0.5897621209461035,3000,30000,0.0675220489501953
decay_hl7,10,0.5653703309742665,0.1881817095211019,0.5302921939450623,3000,30000,0.0810425281524658
expanding,11,0.5929038459672686,0.1969160629607171,0.5510307884116773,3000,33000,0.1043353080749511
rolling_1,11,0.7288674408384277,0.2082748538070463,0.5893876601859036,3000,3000,0.0089235305786132
rolling_3,11,0.4817053164621898,0.1576901288339183,0.7115052941083444,3000,9000,0.0342893600463867
rolling_7,11,0.553993794314524,0.1837282836008395,0.6066677912597132,3000,21000,0.075446605682373
rolling_14,11,0.5929038459672686,0.1969160629607171,0.5510307884116773,3000,33000,0.1035127639770507
decay_hl1,11,0.5030816392827563,0.1670354172378973,0.701307141819833,3000,33000,0.0636703968048095
decay_hl3,11,0.5074980344588033,0.1698167614158191,0.6565282018736507,3000,33000,0.0893292427062988
decay_hl7,11,0.5453463167025955,0.1827055049841417,0.5990335167434293,3000,33000,0.0976183414459228
expanding,12,0.5102727032096949,0.1693452094491193,0.5829013627728209,3000,36000,0.1201977729797363
rolling_1,12,0.7025515857511319,0.2039401291526457,0.5832010177333579,3000,3000,0.0090212821960449
rolling_3,12,0.4247986226780296,0.1369362140495023,0.7285445551955758,3000,9000,0.0370783805847168
rolling_7,12,0.4414834713008678,0.1443256812311998,0.6955781730430342,3000,21000,0.075446605682373
rolling_14,12,0.5102727032096949,0.1693452094491193,0.5829013627728209,3000,36000,0.1200771331787109
decay_hl1,12,0.4786660897105542,0.1547066126254677,0.7065683563604515,3000,36000,0.0643820762634277
decay_hl3,12,0.4477976579650372,0.1450447261276176,0.7083973764858106,3000,36000,0.0880639553070068
decay_hl7,12,0.4701333629064487,0.1547412237291651,0.6483695725991617,3000,36000,0.1007797718048095
expanding,13,0.4397558390172764,0.1427410341554565,0.6565419299980938,3000,39000,0.123537540435791
rolling_1,13,0.6893006069483872,0.2044641580308347,0.5458503361550144,3000,3000,0.0089390277862548
rolling_3,13,0.4668373766592606,0.153131443667402,0.6587778633384405,3000,9000,0.0370197296142578
rolling_7,13,0.4009722370852599,0.1285653286287482,0.7272765838901867,3000,21000,0.0726540088653564
rolling_14,13,0.4397558390172764,0.1427410341554565,0.6565419299980938,3000,39000,0.1242516040802002
decay_hl1,13,0.4748008865240452,0.1525094143812018,0.6729341478662139,3000,39000,0.0698285102844238
decay_hl3,13,0.4223859252337916,0.1336786518599025,0.730483256951421,3000,39000,0.0836660861968994
decay_hl7,13,0.4212335661961874,0.1344402671619415,0.7083006906396123,3000,39000,0.0968658924102783
expanding,14,0.4074023896847753,0.1305841744787795,0.6943804773475313,3000,42000,0.1198463439941406
rolling_1,14,0.7578227808493713,0.2113876102559121,0.4635615838346583,3000,3000,0.0089428424835205
rolling_3,14,0.5629530652432461,0.177994719560154,0.5454843052843692,3000,9000,0.0353403091430664
rolling_7,14,0.4708429766962864,0.1528427863818675,0.6062770817226298,3000,21000,0.0697646141052246
rolling_14,14,0.4074023896847753,0.1305841744787795,0.6943804773475313,3000,42000,0.1203722953796386
