method,day,log_loss,brier,pr_auc,n,n_train,fit_time
m1_global_mix,5,0.393392717487547,0.12608010957263446,0.7161180899564886,3000,24000,0.07545971870422363
m1_global_mix,6,0.4259557360749974,0.13747736441306543,0.6802185324474619,3000,27000,0.09786748886108398
m1_global_mix,7,0.4680918068931827,0.15187391941088219,0.5951509538110171,3000,30000,0.099365234375
m1_global_mix,8,0.5690820183748777,0.18442517292410726,0.5141635130471137,3000,33000,0.10723733901977539
m1_global_mix,9,0.6341331408569802,0.20697158054354653,0.46427671336829307,3000,36000,0.1151580810546875
m1_global_mix,10,0.5273188627263677,0.17283053055399955,0.6004373047090198,3000,39000,0.11461257934570312
m1_global_mix,11,0.47687049390463476,0.1573066265537287,0.7013695623525916,3000,42000,0.12407588958740234
m1_global_mix,12,0.41331434536613687,0.13422473159318293,0.7331013901193977,3000,45000,0.1469895839691162
m1_global_mix,13,0.4284595067695036,0.14098486374486363,0.6889982190877662,3000,48000,0.14468979835510254
m1_global_mix,14,0.4630685795784813,0.15379058374688054,0.6082608180709476,3000,51000,0.1446528434753418
m1_global_mix,15,0.4748942016675399,0.1572037070192182,0.563222539816943,3000,54000,0.15694546699523926
m1_global_mix,16,0.45669744966093384,0.14893939737759945,0.6464083189167302,3000,57000,0.16279006004333496
m1_global_mix,17,0.46405750885416625,0.15209235960838766,0.6176066630107979,3000,60000,0.17069125175476074
m1_global_mix,18,0.4407232257690219,0.14394303645912146,0.6810748341415486,3000,63000,0.15648627281188965
m1_global_mix,19,0.38815273276642437,0.12321969129371876,0.7530426028865723,3000,66000,0.16785621643066406
m1_global_mix,20,0.38894714188672297,0.12434140872133335,0.7421261629973037,3000,69000,0.19169044494628906
m1_global_mix,21,0.4300465071565624,0.1395658473895243,0.6344837887799291,3000,72000,0.19031238555908203
m1_global_mix,22,0.4938017577272713,0.16300005654641073,0.5708172913013889,3000,75000,0.20215106010437012
m1_global_mix,23,0.5126956467803946,0.16947606262965442,0.5753168857909089,3000,78000,0.21265459060668945
m1_global_mix,24,0.5585835062450077,0.18626639367169934,0.5761952594989758,3000,81000,0.22988653182983398
