method,log_loss,brier,pr_auc,mean_train_rows,mean_fit_time_s,n_test_days
expanding,0.4390960201250812,0.1420884204689728,0.6555080597754918,306000.0,0.5023264953068325,35
validation_selected(h=expanding),0.4390960201250812,0.1420884204689728,0.6555080597754918,306000.0,0.5023264953068325,35
adamoe,0.4420901376459673,0.14362397313077518,0.6430540307210649,76200.0,0.8898795740944999,35
diff_forgetting,0.4429382130697489,0.14324712037437443,0.6538724135006976,306000.0,7.589721141542707,35
han_arw,0.44354885585391923,0.1436178244269049,0.6500856136849621,288685.71428571426,0.6223150048937116,35
rolling_14,0.4545325428987141,0.1479781933812705,0.6240342075408045,42000.0,0.1286400590624128,35
decay_hl7,0.4905938521750265,0.1600068579526276,0.627056758072226,306000.0,0.4035629068102155,35
rolling_3,0.5018515544905322,0.1594739895577476,0.5976627668313739,9000.0,0.0377743652888706,35
decay_hl3,0.5227628681004453,0.1723996288324433,0.6046765650706335,306000.0,0.3834004470280238,35
rolling_7,0.5237395517931974,0.1698593205941788,0.5452724709872848,21000.0,0.0729724611554827,35
decay_hl1,0.5608122669910054,0.1873354417890045,0.5825414362047303,306000.0,0.3869400841849191,35
rolling_1,0.7126690873336656,0.201028079855576,0.5085905038004227,3000.0,0.0083841187613351,35
