day,alpha,alpha_oracle,oracle_headroom
5,0.5,0.3,0.0022443557426234384
6,0.4,0.0,0.007088511444270584
7,0.2,0.0,0.005725565681063083
8,0.0,0.4,0.010880721987536757
9,0.1,0.7,0.03984388265377681
10,0.4,0.9,0.033504036694369965
11,0.7,0.9,0.01066720304288249
12,0.9,0.7,0.004415825154385877
13,0.9,0.4,0.04345175214832825
14,0.7,0.0,0.04926636485317304
15,0.4,0.0,0.03374679945826409
16,0.1,0.0,0.0009806920204126768
17,0.0,0.6,0.026228520079862927
18,0.1,0.8,0.04477532386208449
19,0.5,0.6,0.0018200025930006358
20,0.7,0.2,0.0259741617953142
21,0.5,0.0,0.03519622374348702
22,0.2,0.0,0.006275330901339915
23,0.0,0.3,0.007794651095240135
24,0.0,0.6,0.04853519412663537
25,0.3,0.8,0.041660886042666545
26,0.6,0.7,0.0010757687173527652
27,0.7,0.3,0.01728584314187187
28,0.6,0.0,0.04276458191738547
29,0.4,0.0,0.031583827877757764
30,0.1,0.1,0.0
31,0.0,0.6,0.031734562799824895
32,0.1,0.7,0.035721742908675025
33,0.5,0.6,0.0017703595438571806
34,0.6,0.3,0.008542911258738906
35,0.5,0.0,0.03527992557388965
36,0.3,0.0,0.015150946415175282
37,0.0,0.2,0.003811496435982109
38,0.0,0.6,0.03668424697614975
39,0.2,0.9,0.06259123709127562
40,0.6,0.6,0.0
41,0.7,0.4,0.011866952204704517
42,0.6,0.0,0.04509006781391922
43,0.4,0.0,0.03166072679193255
44,0.1,0.0,3.1423198338376146e-06
45,0.0,0.5,0.02013749685063493
46,0.1,0.7,0.038867916650650425
47,0.4,0.6,0.004837109696305686
48,0.6,0.3,0.008054960646601605
49,0.5,0.0,0.04127229138973032
50,0.3,0.0,0.02219468084716314
51,0.0,0.2,0.003986222464992362
52,0.0,0.6,0.041727506534923464
53,0.2,0.8,0.04113692791770163
54,0.6,0.7,0.0010234412320767605
55,0.7,0.4,0.012759244971329298
56,0.6,0.0,0.042254683692560635
57,0.4,0.0,0.03215709816940965
58,0.1,0.0,0.00036717326008922635
59,0.0,0.4,0.01846389760775291
60,0.1,0.8,0.04649153200394829
61,0.5,0.7,0.002885255038865997
62,0.6,0.3,0.00842260879877571
63,0.6,0.0,0.05167558055484128
64,0.3,0.0,0.02343763663394488
65,0.0,0.1,0.0009326502225363575
66,0.0,0.6,0.030969753676810985
67,0.1,0.8,0.06380144961714185
68,0.5,0.7,0.004127222427293076
69,0.7,0.4,0.015206687416740805
70,0.6,0.0,0.047153058377634116
71,0.4,0.0,0.033689861892996054
72,0.1,0.0,0.0006934223580857823
73,0.0,0.6,0.03101375322071831
74,0.1,0.7,0.048393319224154574
75,0.5,0.7,0.004181022126349743
76,0.7,0.4,0.013887780090611423
77,0.6,0.0,0.03897058458650976
78,0.4,0.0,0.03041454831766538
79,0.1,0.0,0.00034558741331480736
80,0.0,0.6,0.034688683954547495
81,0.2,0.8,0.04442182943418749
82,0.5,0.7,0.0047473361510809164
83,0.7,0.3,0.015360457394989258
84,0.6,0.0,0.04120876684584385
85,0.4,0.0,0.03397224655283648
86,0.0,0.0,0.0
87,0.0,0.5,0.022140069515631633
88,0.1,0.8,0.048338232213803844
89,0.4,0.6,0.003426086688635588
90,0.6,0.4,0.00687694285726137
91,0.6,0.0,0.048913355187155616
92,0.3,0.0,0.021141791546962996
93,0.0,0.2,0.0026655302004188197
94,0.0,0.6,0.03405558498121675
95,0.2,0.7,0.03456482091675234
96,0.5,0.7,0.005179886636241138
97,0.7,0.3,0.01809837614135218
98,0.6,0.0,0.05360550855970225
99,0.3,0.0,0.020010672084177783
100,0.0,0.0,0.0
101,0.0,0.6,0.0303139306123707
102,0.1,0.8,0.050214829457442156
103,0.5,0.7,0.0033076285219208468
104,0.7,0.3,0.018945887791113947
105,0.6,0.0,0.03879187985592747
106,0.3,0.0,0.02020911237508677
107,0.0,0.0,0.0
108,0.0,0.6,0.037920658795623674
109,0.2,0.8,0.04962010353566687
110,0.5,0.6,0.002567737974379203
111,0.7,0.3,0.022390699239896228
112,0.6,0.0,0.043078446197130194
113,0.3,0.0,0.02122915514462792
114,0.0,0.0,0.0
115,0.0,0.5,0.028366424232309007
116,0.1,0.7,0.046307787473373996
117,0.5,0.6,0.002425843055717136
118,0.6,0.4,0.00470718165397549
119,0.6,0.0,0.03654725016699556
