ablation,setting,imp_wt_ll
carryover_rho,0.0,0.38821006702816874
carryover_rho,0.5,0.388156196705819
carryover_rho,1.0,0.3881398031530629
delay_sec,0,0.3881790132977486
delay_sec,900,0.38821006702816874
delay_sec,1800,0.38821006702816874
delay_sec,3600,0.38821006702816874
update_granularity,impression,0.38777584480375643
update_granularity,block_900,0.38824976224546487
update_granularity,block_1800,0.38821006702816874
update_granularity,block_3600,0.38821006702816874
chronology,real,0.38821006702816874
chronology,shuffled,0.3881923451755524
long_term_backbone,expanding,0.3877296146822758
long_term_backbone,equal,0.38758547711236263
long_term_backbone,adaptive,0.38821006702816874
calib_complexity,intercept,0.38821006702816874
calib_complexity,platt,0.3876087099745489
