day,block,n,mean_residual
5,0,14592,-0.014036767868416244
5,1,16036,0.0017687424466364923
5,2,20111,0.006454017245507108
5,3,22263,0.006107834791743546
5,4,30025,0.013201416772111256
5,5,34144,0.0061355798051965175
5,6,35664,0.0032448566888055507
5,7,40170,0.003126643024767686
5,8,37645,0.0076020934472556
5,9,40418,0.006684158838184413
5,10,43656,0.005974080116957127
5,11,47779,0.006335426116531514
5,12,47698,0.014108636807443321
5,13,47654,0.009578380070073018
5,14,46362,0.008943331591840239
5,15,41369,0.0035461402313474743
5,16,40239,-0.0015549179962704982
5,17,36292,-0.007289380636141697
5,18,30947,-0.009720268581457312
5,19,23297,-0.014301299507016668
5,20,20378,-0.014204874116955382
5,21,16402,-0.014067986510167814
5,22,17918,-0.012121283587223156
5,23,15494,-0.0013834562334188742
6,0,12288,-0.0033958548734876076
6,1,15166,0.014528800519885365
6,2,17134,-0.0014616258154980543
6,3,24088,-0.002521836147923689
6,4,27348,0.0069244250094889276
6,5,33794,0.006197489162807284
6,6,34456,0.006339036491501845
6,7,32526,0.006442272090860021
6,8,32646,0.011874972833606114
6,9,30498,0.011773959022453628
6,10,20355,5.9872433758779524e-05
6,11,23704,0.009308002976627691
6,12,33077,0.011733894360666628
6,13,34750,0.011880425018146698
6,14,20811,0.01906546032934861
6,15,20592,0.008776394179680125
6,16,35791,0.00016930778348150726
6,17,46890,-0.012379928147798215
6,18,40369,-0.020638799833345097
6,19,31571,-0.020772283250447762
6,20,21634,-0.023367894692406598
6,21,18591,-0.017552214442518817
6,22,19041,-0.023068702742736428
6,23,17561,-0.006515815057536528
