method,day,b_end,a_end
short_only,5,0.027799934210005352,1.0
short_only,6,0.029341069738599065,1.0
short_only,7,-0.05526737377276506,1.0
short_only,8,-0.03298383269524222,1.0
short_only,9,-0.06162057323440351,1.0
combined,5,0.0023259448205066053,1.0
combined,6,-0.05547816836024624,1.0
combined,7,-0.06509299500961258,1.0
combined,8,-0.044879371749247984,1.0
combined,9,-0.03871969760128808,1.0
online_platt,5,0.004952304344983312,1.0259578510359455
online_platt,6,-0.036144680662800105,1.0608881473443825
online_platt,7,-0.021794385869810123,1.0746942805366815
online_platt,8,-0.010713155807841886,1.0639602760416105
online_platt,9,-0.01059682620934882,1.0564648711786397
