method,is_test,day,n,log_loss,brier,ece,clicks
expanding,False,5,767443,0.4248839201764135,0.13454367046854754,0.0107850362585962,140083
expanding,False,6,643409,0.41760941135656937,0.1321826855784956,0.009387094775407799,116472
expanding,True,7,1056908,0.37502969375715695,0.1154104047154221,0.014583970170449042,161351
expanding,True,8,766528,0.3847600102736921,0.11853595229498932,0.00988922948560697,119316
expanding,True,9,844806,0.40713828852986284,0.12664789438211344,0.011578002245516856,143093
rolling_3,False,5,767443,0.42452918859702427,0.13437493527552313,0.00852607655984836,140083
rolling_3,False,6,643409,0.4162689850673695,0.1317682075661986,0.01431779658015165,116472
rolling_3,True,7,1056908,0.37597637648525367,0.11555947384309569,0.014410174825866677,161351
rolling_3,True,8,766528,0.3841361877255612,0.11841103881919694,0.008752941740980172,119316
rolling_3,True,9,844806,0.4070653743876391,0.12670687895362795,0.0138794315396945,143093
rolling_7,False,5,767443,0.4248839201764135,0.13454367046854754,0.0107850362585962,140083
rolling_7,False,6,643409,0.41760941135656937,0.1321826855784956,0.009387094775407799,116472
rolling_7,True,7,1056908,0.37502969375715695,0.1154104047154221,0.014583970170449042,161351
rolling_7,True,8,766528,0.38477548970323594,0.1185177838794946,0.010810770245311473,119316
rolling_7,True,9,844806,0.4072170049878986,0.1266808630490381,0.011753977984425484,143093
equal_ensemble,False,5,767443,0.42460237490933334,0.13443473443994064,0.01013467830899748,140083
equal_ensemble,False,6,643409,0.4167412193343585,0.13189867320470916,0.009517588479206422,116472
equal_ensemble,True,7,1056908,0.37481609107777264,0.1153141022391183,0.015281523406877554,161351
equal_ensemble,True,8,766528,0.38425860341114326,0.1184119282901513,0.009594421260265468,119316
equal_ensemble,True,9,844806,0.40680147296856106,0.12659418503694622,0.012131198620513458,143093
long_only,False,5,767443,0.42460237490933334,0.13443473443994064,0.010134678308997475,140083
long_only,False,6,643409,0.4162689850673695,0.1317682075661986,0.01431779658015165,116472
long_only,True,7,1056908,0.37597637648525367,0.11555947384309569,0.014410174825866677,161351
long_only,True,8,766528,0.3841361877255612,0.11841103881919694,0.008752941740980172,119316
long_only,True,9,844806,0.4070653743876391,0.12670687895362795,0.0138794315396945,143093
short_only,False,5,767443,0.4248667225822162,0.13453940859134875,0.010725052120933767,140083
short_only,False,6,643409,0.41752477071116517,0.13215926759067728,0.008936033045470564,116472
short_only,True,7,1056908,0.3746740890987444,0.11533949141281832,0.013334535077181906,161351
short_only,True,8,766528,0.3846172376244466,0.11851287191512429,0.008632254746388615,119316
short_only,True,9,844806,0.4069103684575138,0.1265829007778878,0.01051227837406695,143093
combined,False,5,767443,0.4245924388735093,0.13443120078098836,0.010118384679924113,140083
combined,False,6,643409,0.4161988513511546,0.13170778672526956,0.0114275234850479,116472
combined,True,7,1056908,0.3756862707446653,0.1155098650091905,0.01296681742353119,161351
combined,True,8,766528,0.38411365378872836,0.11841377704167924,0.0087530502015847,119316
combined,True,9,844806,0.4067788823571684,0.1266304874296342,0.01181908730969918,143093
time_of_day,False,5,767443,0.42460237490933334,0.13443473443994064,0.010134678308997478,140083
time_of_day,False,6,643409,0.4160204316074975,0.13170950329738226,0.01615726794505893,116472
time_of_day,True,7,1056908,0.37644281556323916,0.11568408649403715,0.015845866392187775,161351
time_of_day,True,8,766528,0.3841149260916983,0.1184448628474934,0.008574121675293101,119316
time_of_day,True,9,844806,0.40686473647597077,0.12664322449263696,0.011531682379407915,143093
oracle_intercept,False,5,767443,0.4245989626452674,0.13443779202076525,0.009971877053195077,140083
oracle_intercept,False,6,643409,0.4160944598460571,0.1316485770541431,0.009804353449302285,116472
oracle_intercept,True,7,1056908,0.3753609010140385,0.11553154483544015,0.01498198603776259,161351
oracle_intercept,True,8,766528,0.3840807590955143,0.11842877669753941,0.008534872375366756,119316
oracle_intercept,True,9,844806,0.4064677837453603,0.1266265709656922,0.01053099369991171,143093
online_platt,False,5,767443,0.4245378725233456,0.13442284732803725,0.009577524258058936,140083
online_platt,False,6,643409,0.41615209124045305,0.13168617929798454,0.011348687635700211,116472
online_platt,True,7,1056908,0.3750221550850195,0.11542733454188187,0.011448542420423414,161351
online_platt,True,8,766528,0.3839285838152713,0.11840158575702281,0.007361436891340936,119316
online_platt,True,9,844806,0.40630796181509454,0.12655077831513498,0.008188685786479497,143093
