method,imp_wt_ll,daily_ll,worst_day,brier,ece
short_only,0.38710061141024954,0.38825429038470644,0.4064557780428621,0.11959329200128965,0.011520178503888043
equal_ensemble,0.3871695608573907,0.38826746528384953,0.4060727962002344,0.11957543968534325,0.013259863712962831
online_platt,0.387189854652328,0.388284472064111,0.4061791261246518,0.11961145008435771,0.008592139557613206
expanding,0.38734544420196326,0.3884764570289801,0.40666985555456453,0.11965013995758426,0.01254330568275854
rolling_7,0.38736889246057565,0.3885017486918021,0.4067269693233721,0.11964163918099763,0.012777694027657993
oracle_intercept,0.3873738902425287,0.38845783994484123,0.40626515264631863,0.1196783666580009,0.010863663106751438
combined,0.3878114665957508,0.38884362411222545,0.40645226102248583,0.11971367254842473,0.012225435541647952
rolling_3,0.3881572555105818,0.38913630481216016,0.40593950253910704,0.11981947986015765,0.01612155832725096
time_of_day,0.38817974660817994,0.38915341807988274,0.40632522108601193,0.11983714236445918,0.014030377975873743
long_only,0.3882868147633608,0.38926204516507584,0.40666590485566634,0.11982751873674086,0.015244892695163893
