method,block,n,mean_residual,log_loss
expanding,0,54323,-0.006586834733800983,0.40964940638122277
expanding,1,62437,-0.0021436369378340166,0.416548455045524
expanding,2,82047,-0.005538165623709068,0.3930008984900784
expanding,3,93968,-0.004803142655925987,0.4021896911071475
expanding,4,129965,-0.006220783879245872,0.3515232216795658
expanding,5,112080,-0.00594633944348991,0.38029078014219475
expanding,6,104607,-0.00819739263546655,0.3930655194355445
expanding,7,119136,-0.00474289927880604,0.40660856653823224
expanding,8,131575,-0.00911598468947715,0.36705199319601955
expanding,9,142008,-0.00891920343861189,0.3717152103816812
expanding,10,139364,-0.016069335305859783,0.3723296534308261
expanding,11,127777,-0.009541448350277768,0.3976164179526833
expanding,12,142693,-0.012210073126543894,0.3912361844728838
expanding,13,175779,-0.009945286646224714,0.3721380105251084
expanding,14,173763,-0.007914077148426188,0.37999033763837153
expanding,15,143307,-0.00935323400897642,0.40541623833765517
expanding,16,135018,-0.009668624418209289,0.4075049306274097
expanding,17,123560,-0.015842662944466658,0.39279303255734
expanding,18,105017,-0.017525056065754004,0.39376220252294536
expanding,19,92509,-0.01451208204084527,0.38691965926202826
expanding,20,79700,-0.013767520305026624,0.38890028774385393
expanding,21,74971,-0.013141391499548991,0.3882653524248975
expanding,22,62841,-0.012357745192615953,0.3848393282883678
expanding,23,58976,-0.012964089262328211,0.3885429582094063
long_only,0,54323,-0.009152254328002965,0.4097211390987046
long_only,1,62437,-0.0039388533940995915,0.4161133320956054
long_only,2,82047,-0.0099292890272524,0.3947466486881495
long_only,3,93968,-0.006779688227725415,0.40254073882343533
long_only,4,129965,-0.007425586038715621,0.35181305184432576
long_only,5,112080,-0.007015068261071408,0.38002267758903135
long_only,6,104607,-0.010557034688786089,0.39327017686992977
long_only,7,119136,-0.0075118689523596205,0.40684646655905726
long_only,8,131575,-0.020203113820835013,0.3701812403701491
long_only,9,142008,-0.020809559904786834,0.37505162266005154
long_only,10,139364,-0.02216799935902329,0.3741666962665039
long_only,11,127777,-0.014083981461262055,0.39953613252744313
long_only,12,142693,-0.013045707689237143,0.3914649767606681
