B,eta0,eta_schedule,update,block_sec,delay_sec,eps,dev_imp_wt_ll,dev_worst_day_ll
0.25,0.3,const,block,3600,1800,1e-05,0.4216988999782573,0.4257459430334979
0.25,0.3,const,block,1800,1800,1e-05,0.4216988999782573,0.4257459430334979
0.5,0.3,const,block,1800,1800,1e-05,0.4216988999782573,0.4257459430334979
0.5,0.3,const,block,3600,1800,1e-05,0.4216988999782573,0.4257459430334979
2.0,0.3,const,block,3600,1800,1e-05,0.4216988999782573,0.4257459430334979
2.0,0.3,const,block,1800,1800,1e-05,0.4216988999782573,0.4257459430334979
1.0,0.3,const,block,3600,1800,1e-05,0.4216988999782573,0.4257459430334979
1.0,0.3,const,block,1800,1800,1e-05,0.4216988999782573,0.4257459430334979
1.0,0.3,inv_sqrt,block,3600,1800,1e-05,0.42170707279629055,0.4257617826459281
1.0,0.3,inv_sqrt,block,1800,1800,1e-05,0.42170707279629055,0.4257617826459281
2.0,0.3,inv_sqrt,block,3600,1800,1e-05,0.42170707279629055,0.4257617826459281
2.0,0.3,inv_sqrt,block,1800,1800,1e-05,0.42170707279629055,0.4257617826459281
0.5,0.3,inv_sqrt,block,1800,1800,1e-05,0.42170707279629055,0.4257617826459281
0.5,0.3,inv_sqrt,block,3600,1800,1e-05,0.42170707279629055,0.4257617826459281
0.25,0.3,inv_sqrt,block,3600,1800,1e-05,0.42170707279629055,0.4257617826459281
0.25,0.3,inv_sqrt,block,1800,1800,1e-05,0.42170707279629055,0.4257617826459281
0.25,0.1,const,block,3600,1800,1e-05,0.42170804105349885,0.42576672094873913
0.25,0.1,const,block,1800,1800,1e-05,0.42170804105349885,0.42576672094873913
0.5,0.1,const,block,1800,1800,1e-05,0.42170804105349885,0.42576672094873913
0.5,0.1,const,block,3600,1800,1e-05,0.42170804105349885,0.42576672094873913
2.0,0.1,const,block,3600,1800,1e-05,0.42170804105349885,0.42576672094873913
2.0,0.1,const,block,1800,1800,1e-05,0.42170804105349885,0.42576672094873913
1.0,0.1,const,block,3600,1800,1e-05,0.42170804105349885,0.42576672094873913
1.0,0.1,const,block,1800,1800,1e-05,0.42170804105349885,0.42576672094873913
1.0,0.1,inv_sqrt,block,1800,1800,1e-05,0.4217101018779074,0.4257739063024767
1.0,0.1,inv_sqrt,block,3600,1800,1e-05,0.4217101018779074,0.4257739063024767
2.0,0.1,inv_sqrt,block,3600,1800,1e-05,0.4217101018779074,0.4257739063024767
2.0,0.1,inv_sqrt,block,1800,1800,1e-05,0.4217101018779074,0.4257739063024767
0.5,0.1,inv_sqrt,block,1800,1800,1e-05,0.4217101018779074,0.4257739063024767
0.5,0.1,inv_sqrt,block,3600,1800,1e-05,0.4217101018779074,0.4257739063024767
0.25,0.1,inv_sqrt,block,1800,1800,1e-05,0.4217101018779074,0.4257739063024767
0.25,0.1,inv_sqrt,block,3600,1800,1e-05,0.4217101018779074,0.4257739063024767
2.0,0.03,const,block,1800,1800,1e-05,0.4217112329503388,0.4257771768010671
2.0,0.03,const,block,3600,1800,1e-05,0.4217112329503388,0.4257771768010671
0.25,0.03,const,block,1800,1800,1e-05,0.4217112329503388,0.4257771768010671
0.25,0.03,const,block,3600,1800,1e-05,0.4217112329503388,0.4257771768010671
0.5,0.03,const,block,3600,1800,1e-05,0.4217112329503388,0.4257771768010671
0.5,0.03,const,block,1800,1800,1e-05,0.4217112329503388,0.4257771768010671
1.0,0.03,const,block,1800,1800,1e-05,0.4217112329503388,0.4257771768010671
1.0,0.03,const,block,3600,1800,1e-05,0.4217112329503388,0.4257771768010671
1.0,0.03,inv_sqrt,block,1800,1800,1e-05,0.4217118248900188,0.4257796576810782
