ablation,setting,imp_wt_ll
carryover_rho,0.0,0.6071780631454394
carryover_rho,0.5,0.6071789014333738
carryover_rho,1.0,0.6071804431027215
delay_sec,0,0.607110725140527
delay_sec,900,0.6071554590280708
delay_sec,1800,0.6071780631454394
delay_sec,3600,0.607219237132358
update_granularity,impression,0.6070913222819105
update_granularity,block_900,0.6071780631454394
update_granularity,block_1800,0.6072897362403852
update_granularity,block_3600,0.6072012480756556
chronology,real,0.6071780631454394
chronology,shuffled,0.6071448642010372
long_term_backbone,expanding,0.6078720107192528
long_term_backbone,equal,0.6070893226867908
long_term_backbone,adaptive,0.6071780631454394
calib_complexity,intercept,0.6071780631454394
calib_complexity,platt,0.607077527501782
