day,block,n,mean_residual
16,0,1066,0.0027011012411754993
16,1,951,0.011299961981844358
16,2,860,0.011245844048362824
16,3,783,0.029331083396425577
16,4,677,0.009308931366888446
16,5,696,0.016593832654653234
16,6,668,0.004750974113952635
16,7,676,-0.00411180917023726
16,8,651,0.014717219305927749
16,9,658,0.010188406014752663
16,10,683,0.02429526784778691
16,11,724,0.012155957105659402
16,12,763,0.032691350350007205
16,13,845,0.0061374963109627175
16,14,954,0.01475333468573534
16,15,1099,0.02106820271393623
16,16,1271,0.02435826038572425
16,17,1382,0.02333556048908178
16,18,1645,0.01903000713493228
16,19,1911,0.03944776962884313
16,20,2265,0.006536436544280738
16,21,2740,0.0279282047552775
16,22,3116,0.032093174471716834
16,23,3656,0.008627289942963424
16,24,3960,0.011416216028595464
16,25,4534,0.03744249606503143
16,26,4655,0.016212582001308106
16,27,5157,0.01920779972457639
16,28,5441,0.015143479688225102
16,29,5835,0.009339213939048959
16,30,5985,0.004372102256819541
16,31,6266,0.003526176048635196
16,32,6466,0.012827757447264646
16,33,6735,-0.004854750667331635
16,34,6623,-0.0012002524496181736
16,35,6580,0.003201693173351623
16,36,6651,0.004359369275336619
16,37,6636,-0.0008789905366234467
16,38,6730,-0.0006457996014073391
16,39,6648,-0.006488284732701182
16,40,6656,-0.0024391223104604353
16,41,6829,-0.006894685107784488
16,42,6967,0.0014045813143453035
16,43,7033,-0.002425287936982307
16,44,6932,-0.010453190318728756
16,45,7188,-0.0065648735146025495
16,46,6829,-0.004891184050489237
16,47,7257,-0.0006832783166983685
16,48,6968,0.006713526711622826
16,49,7180,-0.013219438531210085
16,50,6963,-0.0007455032106625857
16,51,5941,8.843226163702209e-05
16,52,6116,0.003497007883455491
16,53,6304,0.006498625725832116
16,54,6865,-0.0038578777444885797
16,55,6840,0.009873344511401974
16,56,6572,-0.0027399070463610393
16,57,6795,-0.00737751620729789
16,58,6727,-0.01263236510698828
16,59,6786,-0.01152639164576938
16,60,6674,-0.0015868978316278806
16,61,6657,0.0025800672957860594
16,62,6741,0.005994820931441404
16,63,6943,0.003535665850759894
16,64,6799,-0.009660468449685594
16,65,7062,-0.00022764761411073892
16,66,6842,0.004905971947436894
16,67,6999,0.0077233715833421104
16,68,7031,0.008894884245997384
16,69,7038,0.012737489142792269
16,70,7246,0.007856007607967038
16,71,7501,0.0020523926923644077
16,72,7043,0.014880025145433786
16,73,7294,0.013918975694275344
16,74,7234,0.007652376584480541
16,75,7529,0.005791124589513833
16,76,7284,0.019766754542043304
16,77,7494,0.004044955309462086
16,78,7221,0.01609896099904322
16,79,7425,0.02246448651219312
16,80,7101,0.016679841511720177
16,81,7033,0.012860360820159787
16,82,6868,0.01516278507570546
16,83,6771,0.011102732459377346
16,84,6263,0.019841867339348243
16,85,6015,0.024500589511272736
16,86,5309,0.028739052113991873
16,87,5181,0.022942360911641948
16,88,4566,0.024863595971858644
16,89,4050,0.01043063588716412
16,90,3715,0.02326455891737553
16,91,3266,0.02548323483426483
16,92,2423,0.02489854038271984
16,93,2254,0.012170236954066552
16,94,1822,0.02531033786205339
16,95,1596,0.01580743495463592
17,0,1301,0.008411987274562396
17,1,1071,0.04200621863904753
17,2,983,0.0019016331429606106
17,3,904,0.04008000408097279
17,4,761,0.021968823450984897
17,5,743,0.01235052469145623
17,6,727,-0.005169687932774856
17,7,647,0.006016404294061453
17,8,590,0.029176738866704167
17,9,588,0.028571554474786324
17,10,670,0.013872185158098526
17,11,719,0.0515435344634463
17,12,725,0.012997533394136994
17,13,704,0.013050898154518077
17,14,882,0.02555241665521002
17,15,952,0.03458799700712086
17,16,1066,0.03784128824739512
17,17,1105,0.03413536657077499
17,18,1252,0.03658821900914409
17,19,1435,0.044263441020692997
17,20,1637,0.03253067438108389
17,21,2012,0.041550477395739034
17,22,2340,0.03086545998191889
17,23,2577,0.026165908526676183
17,24,2879,0.0391642187000056
17,25,3213,0.02755314636002847
17,26,3549,0.030987799788245864
17,27,3979,0.0362957956519874
17,28,4230,0.022755411828468772
17,29,4477,0.023232722224519213
17,30,4830,0.018176892066949144
17,31,5143,0.01920948606365017
17,32,5320,0.014515663236480663
17,33,5530,0.016239191994421885
17,34,5701,0.015884145777055797
