method,is_test,day,n,log_loss,brier,ece,clicks
expanding,False,16,477680,0.6108174323454542,0.21128857250263652,0.01669811456120154,178684
expanding,False,17,450258,0.6191110849780653,0.21501364629619749,0.028347586465835708,172509
expanding,False,18,538532,0.617374602200183,0.2142258568616318,0.024074507055167445,204091
expanding,False,19,582350,0.6061780996112386,0.2091691104525119,0.013515954600074268,212241
expanding,False,20,552965,0.6074200340010563,0.20971706106595311,0.010929821242843848,202913
expanding,False,21,562085,0.6067143912260298,0.20939612702908844,0.01145884683485905,205782
expanding,True,22,528347,0.6084343584597202,0.21018414156791596,0.009008386615554214,195055
expanding,True,23,506792,0.6086926048120638,0.21037258842409004,0.013287073092313643,186589
expanding,True,24,436408,0.6156294851325359,0.2135228918892594,0.021764920900749427,164916
expanding,True,25,507128,0.6126033665444313,0.21211261467860068,0.0157922960712666,188189
expanding,True,26,581336,0.6000985551923553,0.20645900534414038,0.009694656869666005,206145
expanding,True,27,518487,0.6028812363143927,0.20772350416410523,0.00869445456189687,185940
expanding,True,28,459375,0.6075343112846961,0.20978560312374214,0.011086667604928211,168527
expanding,True,29,493827,0.6090724357227493,0.2105604219329711,0.014261491313013309,185143
expanding,True,30,468451,0.609966655805159,0.2109552859741925,0.012842409309045717,176695
rolling_3,False,16,477680,0.6101960795919327,0.2110068370630829,0.013247091429371253,178684
rolling_3,False,17,450258,0.6172241362642081,0.21418072996472337,0.015635176343867983,172509
rolling_3,False,18,538532,0.6159459607181678,0.21358582154437267,0.010636281795102122,204091
rolling_3,False,19,582350,0.6059753859505552,0.20903185419493422,0.01442262348808414,212241
rolling_3,False,20,552965,0.6069736828417936,0.20950793577410975,0.007885776695459291,202913
rolling_3,False,21,562085,0.6065168608194582,0.20928364594812177,0.015023768417330684,205782
rolling_3,True,22,528347,0.6076770321328422,0.20987975894685074,0.006278932879059871,195055
rolling_3,True,23,506792,0.6078847360244027,0.21000913012082303,0.005252067552627966,186589
rolling_3,True,24,436408,0.6141621913558956,0.21286351244587579,0.006865765474147637,164916
rolling_3,True,25,507128,0.611441075724187,0.21158404712209955,0.008178370342926792,188189
rolling_3,True,26,581336,0.5998616383102482,0.2063462136375485,0.010853862426053941,206145
rolling_3,True,27,518487,0.6025665174339294,0.20761271745911053,0.006749160127841574,185940
rolling_3,True,28,459375,0.6070827003060527,0.2096548286004509,0.012254125235398655,168527
