B,eta0,eta_schedule,update,block_sec,delay_sec,eps,dev_imp_wt_ll,dev_worst_day_ll
0.25,0.3,const,block,900,1800,1e-05,0.6097009312498923,0.6166740956332626
0.5,0.3,const,block,900,1800,1e-05,0.6097009312498923,0.6166740956332626
2.0,0.3,const,block,900,1800,1e-05,0.6097009312498923,0.6166740956332626
1.0,0.3,const,block,900,1800,1e-05,0.6097009312498923,0.6166740956332626
1.0,0.1,const,block,900,1800,1e-05,0.6097167357518946,0.6166266738929832
2.0,0.1,const,block,900,1800,1e-05,0.6097167357518946,0.6166266738929832
0.5,0.1,const,block,900,1800,1e-05,0.6097167357518946,0.6166266738929832
0.25,0.1,const,block,900,1800,1e-05,0.6097167357518946,0.6166266738929832
1.0,0.3,const,block,3600,1800,1e-05,0.6097400642010037,0.6167125359770401
0.5,0.3,const,block,3600,1800,1e-05,0.6097400642010037,0.6167125359770401
0.25,0.3,const,block,3600,1800,1e-05,0.6097400642010037,0.6167125359770401
2.0,0.3,const,block,3600,1800,1e-05,0.6097400642010037,0.6167125359770401
0.5,0.3,const,block,1800,1800,1e-05,0.6097542327617496,0.6168046138435184
1.0,0.3,const,block,1800,1800,1e-05,0.6097542327617496,0.6168046138435184
2.0,0.3,const,block,1800,1800,1e-05,0.6097542327617496,0.6168046138435184
0.25,0.3,const,block,1800,1800,1e-05,0.6097542327617496,0.6168046138435184
1.0,0.1,const,block,1800,1800,1e-05,0.6097544815958414,0.6166187949302556
0.25,0.1,const,block,1800,1800,1e-05,0.6097544815958414,0.6166187949302556
0.5,0.1,const,block,1800,1800,1e-05,0.6097544815958414,0.6166187949302556
2.0,0.1,const,block,1800,1800,1e-05,0.6097544815958414,0.6166187949302556
0.5,0.03,const,block,900,1800,1e-05,0.6097920193267465,0.6167688881211356
0.25,0.03,const,block,900,1800,1e-05,0.6097920193267465,0.6167688881211356
2.0,0.03,const,block,900,1800,1e-05,0.6097920193267465,0.6167688881211356
1.0,0.03,const,block,900,1800,1e-05,0.6097920193267465,0.6167688881211356
2.0,0.3,inv_sqrt,block,3600,1800,1e-05,0.6098005468034488,0.6168607625458725
1.0,0.3,inv_sqrt,block,3600,1800,1e-05,0.6098005468034488,0.6168607625458725
0.25,0.3,inv_sqrt,block,3600,1800,1e-05,0.6098005468034488,0.6168607625458725
0.5,0.3,inv_sqrt,block,3600,1800,1e-05,0.6098005468034488,0.6168607625458725
1.0,0.1,inv_sqrt,block,900,1800,1e-05,0.6098149298861252,0.6166139151446721
0.5,0.1,inv_sqrt,block,900,1800,1e-05,0.6098149298861252,0.6166139151446721
0.25,0.1,inv_sqrt,block,900,1800,1e-05,0.6098149298861252,0.6166139151446721
2.0,0.1,inv_sqrt,block,900,1800,1e-05,0.6098149298861252,0.6166139151446721
0.5,0.1,const,block,3600,1800,1e-05,0.609826332302108,0.6169524711742118
2.0,0.1,const,block,3600,1800,1e-05,0.609826332302108,0.6169524711742118
1.0,0.1,const,block,3600,1800,1e-05,0.609826332302108,0.6169524711742118
0.25,0.1,const,block,3600,1800,1e-05,0.609826332302108,0.6169524711742118
2.0,0.03,const,block,1800,1800,1e-05,0.6098458886393656,0.6168563815537873
0.25,0.03,const,block,1800,1800,1e-05,0.6098458886393656,0.6168563815537873
0.5,0.03,const,block,1800,1800,1e-05,0.6098458886393656,0.6168563815537873
1.0,0.03,const,block,1800,1800,1e-05,0.6098458886393656,0.6168563815537873
1.0,0.1,inv_sqrt,block,1800,1800,1e-05,0.6098464788274357,0.6166153530813043
0.5,0.1,inv_sqrt,block,1800,1800,1e-05,0.6098464788274357,0.6166153530813043
0.25,0.1,inv_sqrt,block,1800,1800,1e-05,0.6098464788274357,0.6166153530813043
2.0,0.1,inv_sqrt,block,1800,1800,1e-05,0.6098464788274357,0.6166153530813043
0.5,0.3,inv_sqrt,block,900,1800,1e-05,0.6098746283744333,0.6171560874198044
2.0,0.3,inv_sqrt,block,900,1800,1e-05,0.6098746283744333,0.6171560874198044
1.0,0.3,inv_sqrt,block,900,1800,1e-05,0.6098746283744333,0.6171560874198044
0.25,0.3,inv_sqrt,block,900,1800,1e-05,0.6098746283744333,0.6171560874198044
2.0,0.01,const,block,900,1800,1e-05,0.60988528386178,0.6170470547394605
0.5,0.01,const,block,900,1800,1e-05,0.60988528386178,0.6170470547394605
1.0,0.01,const,block,900,1800,1e-05,0.60988528386178,0.6170470547394605
0.25,0.01,const,block,900,1800,1e-05,0.60988528386178,0.6170470547394605
0.5,0.03,inv_sqrt,block,900,1800,1e-05,0.6098871825882713,0.6169192820280794
0.25,0.03,inv_sqrt,block,900,1800,1e-05,0.6098871825882713,0.6169192820280794
1.0,0.03,inv_sqrt,block,900,1800,1e-05,0.6098871825882713,0.6169192820280794
2.0,0.03,inv_sqrt,block,900,1800,1e-05,0.6098871825882713,0.6169192820280794
1.0,0.1,inv_sqrt,block,3600,1800,1e-05,0.6098906535607546,0.6171098609336808
0.25,0.1,inv_sqrt,block,3600,1800,1e-05,0.6098906535607546,0.6171098609336808
2.0,0.1,inv_sqrt,block,3600,1800,1e-05,0.6098906535607546,0.6171098609336808
0.5,0.1,inv_sqrt,block,3600,1800,1e-05,0.6098906535607546,0.6171098609336808
0.25,0.03,inv_sqrt,block,1800,1800,1e-05,0.6099013513060595,0.6169436589866709
2.0,0.03,inv_sqrt,block,1800,1800,1e-05,0.6099013513060595,0.6169436589866709
0.5,0.03,inv_sqrt,block,1800,1800,1e-05,0.6099013513060595,0.6169436589866709
1.0,0.03,inv_sqrt,block,1800,1800,1e-05,0.6099013513060595,0.6169436589866709
1.0,0.03,const,block,3600,1800,1e-05,0.6099113358058416,0.6171723944099345
0.5,0.03,const,block,3600,1800,1e-05,0.6099113358058416,0.6171723944099345
0.25,0.03,const,block,3600,1800,1e-05,0.6099113358058416,0.6171723944099345
2.0,0.03,const,block,3600,1800,1e-05,0.6099113358058416,0.6171723944099345
2.0,0.01,const,block,1800,1800,1e-05,0.6099163400463695,0.6171158835391586
0.25,0.01,const,block,1800,1800,1e-05,0.6099163400463695,0.6171158835391586
0.5,0.01,const,block,1800,1800,1e-05,0.6099163400463695,0.6171158835391586
1.0,0.01,const,block,1800,1800,1e-05,0.6099163400463695,0.6171158835391586
0.25,0.01,inv_sqrt,block,900,1800,1e-05,0.6099350342510038,0.6171554867708056
2.0,0.01,inv_sqrt,block,900,1800,1e-05,0.6099350342510038,0.6171554867708056
1.0,0.01,inv_sqrt,block,900,1800,1e-05,0.6099350342510038,0.6171554867708056
0.5,0.01,inv_sqrt,block,900,1800,1e-05,0.6099350342510038,0.6171554867708056
0.5,0.03,inv_sqrt,block,3600,1800,1e-05,0.6099403647421457,0.6172428675243266
1.0,0.03,inv_sqrt,block,3600,1800,1e-05,0.6099403647421457,0.6172428675243266
2.0,0.03,inv_sqrt,block,3600,1800,1e-05,0.6099403647421457,0.6172428675243266
0.25,0.03,inv_sqrt,block,3600,1800,1e-05,0.6099403647421457,0.6172428675243266
0.25,0.01,inv_sqrt,block,1800,1800,1e-05,0.6099406739671611,0.6171685925687418
0.5,0.01,inv_sqrt,block,1800,1800,1e-05,0.6099406739671611,0.6171685925687418
1.0,0.01,inv_sqrt,block,1800,1800,1e-05,0.6099406739671611,0.6171685925687418
2.0,0.01,inv_sqrt,block,1800,1800,1e-05,0.6099406739671611,0.6171685925687418
2.0,0.01,const,block,3600,1800,1e-05,0.6099459705717789,0.6172602428006516
0.5,0.01,const,block,3600,1800,1e-05,0.6099459705717789,0.6172602428006516
1.0,0.01,const,block,3600,1800,1e-05,0.6099459705717789,0.6172602428006516
0.25,0.01,const,block,3600,1800,1e-05,0.6099459705717789,0.6172602428006516
0.25,0.01,inv_sqrt,block,3600,1800,1e-05,0.6099568462614023,0.6172865818486388
2.0,0.01,inv_sqrt,block,3600,1800,1e-05,0.6099568462614023,0.6172865818486388
0.5,0.01,inv_sqrt,block,3600,1800,1e-05,0.6099568462614023,0.6172865818486388
