method,imp_wt_ll,daily_ll,worst_day,brier,ece
online_platt,0.6069635378956659,0.6072212883171262,0.6138153108047364,0.20959839422171533,0.0070606714153199955
oracle_intercept,0.6070392562774407,0.6072955703169808,0.6138217948896875,0.20962115689609362,0.00884625876089463
combined,0.6070845776735196,0.6073405613010858,0.6138504779216786,0.209636984486757,0.00863226513792161
time_of_day,0.6071176772896572,0.6073622455448332,0.6140021809240787,0.20964794929741065,0.011016532615865137
long_only,0.6071874667706734,0.6074449317079718,0.6143421603564251,0.20968866119361923,0.010683834493132345
equal_ensemble,0.6071972154280986,0.6074553189669211,0.6143655291121212,0.2096930494495298,0.010731231250120061
rolling_7,0.6073283208388387,0.6075868040929303,0.6143470507233031,0.20974614292414778,0.01063694113963677
rolling_3,0.6075292685229795,0.6077630630493712,0.6142578703800552,0.20984364977868106,0.01179418323770459
short_only,0.6078669888894599,0.6081253571177311,0.6146825312750411,0.20995990643007909,0.009173056312672505
expanding,0.608076703833043,0.6083465836643117,0.6155365662640803,0.21007840709725342,0.013126989486350391
