method,day,b_end,a_end
short_only,16,0.07168447379886786,1.0
short_only,17,0.09879323164753273,1.0
short_only,18,0.07669140089629622,1.0
short_only,19,0.05503542563863347,1.0
short_only,20,0.06559727099822044,1.0
short_only,21,0.03434487901153532,1.0
short_only,22,0.07450676521131035,1.0
short_only,23,0.05358120383823313,1.0
short_only,24,0.08898446656996972,1.0
short_only,25,0.03665593392221535,1.0
short_only,26,0.03402976486555041,1.0
short_only,27,0.05539844070181816,1.0
short_only,28,0.031101621150386838,1.0
short_only,29,0.06559103679938494,1.0
short_only,30,0.06722790364790111,1.0
combined,16,0.08776064560835956,1.0
combined,17,0.07001628876210395,1.0
combined,18,0.04371875936281809,1.0
combined,19,0.005484314775502814,1.0
combined,20,0.017502156662104005,1.0
combined,21,0.015734919502579745,1.0
combined,22,0.0413472363975107,1.0
combined,23,0.01735660500035422,1.0
combined,24,0.02187612764927366,1.0
combined,25,0.006724984684330583,1.0
combined,26,0.012288499374284684,1.0
combined,27,0.030088064125601263,1.0
combined,28,0.016636033303174376,1.0
combined,29,0.06581810635189977,1.0
combined,30,0.05260862710577455,1.0
online_platt,16,0.11148190346156221,1.0174839382882026
online_platt,17,0.07990441545389072,1.0189116775533824
online_platt,18,0.053742031253174005,1.020951109603697
online_platt,19,0.03658931755440147,1.0420440704667664
online_platt,20,0.04319125230885428,1.0295416114504603
online_platt,21,0.03976229981335279,1.0257800741530032
online_platt,22,0.06631332317791194,1.027932853764743
online_platt,23,0.028251498974241788,1.0000836866513305
online_platt,24,0.03805315836149302,1.0256117170886043
online_platt,25,0.01617966386947562,1.0150258425366685
online_platt,26,0.03898209194702982,1.0294773030546867
online_platt,27,0.04587733855819205,1.0122701726505943
online_platt,28,0.03956189209055077,1.0354412477061794
online_platt,29,0.08918444893360972,1.0251368830726793
online_platt,30,0.07886122306479204,1.0315518870298273
