method,imp_wt_ll_mean,imp_wt_ll_std,daily_ll_mean,worst_day_mean,brier_mean,ece_mean,n
expanding,0.6080672646191877,1.3324518070865978e-05,0.6083363499707902,0.6155183304489554,0.21007129817433337,0.012957929017066197,3
rolling_3,0.6074050924075814,0.00010891602397601711,0.6076518197467804,0.6141311287536961,0.20979285796111777,0.010410618695250137,3
rolling_7,0.6072897919099356,4.6923680415365514e-05,0.6075460794493002,0.6141438437713017,0.20973140587381656,0.01008881326861997,3
equal_ensemble,0.6071567184645185,3.650528801006232e-05,0.607414108367038,0.6141463702178022,0.20967653115857285,0.010262857262229844,3
long_only,0.6071793926096277,6.25718328949189e-05,0.6074337963237987,0.6140817484252822,0.20968469856920338,0.00989885930227955,3
short_only,0.6078759159555988,1.1393229740240166e-05,0.6081323732340046,0.6146356565399317,0.2099623379592328,0.009292291274888221,3
combined,0.6071143009563064,5.526181976690081e-05,0.6073706901529786,0.6138815368101834,0.20965138847969508,0.008444987130126032,3
time_of_day,0.607095156249734,6.82704009472307e-05,0.60734231490284,0.6138938248358078,0.20964198522675956,0.010076821168294118,3
online_platt,0.6069994711224492,6.766962066643236e-05,0.6072577501833818,0.6138329271689223,0.20961487998414297,0.006883727913907465,3
oracle_intercept,0.6070667390994389,5.098118402026666e-05,0.6073235947023806,0.613858580650395,0.20963463071738583,0.008528656781151792,3
