variant,hidden,lr,weight_decay,dropout,delta_max,dev_imp_wt_ll,seconds,mlp_hidden,rank,cross_dim
v1_transformer,16,0.0003,1e-05,0.0,1.0,0.41845912674041796,8.107805490493774,,,
v1_transformer,16,0.0003,1e-05,0.0,2.0,0.41845912674041796,7.415658712387085,,,
v1_transformer,16,0.0003,1e-05,0.1,1.0,0.41845912674041796,9.341131210327148,,,
v1_transformer,16,0.0003,1e-05,0.1,2.0,0.41845912674041796,9.279264450073242,,,
v1_transformer,16,0.0003,0.0001,0.0,1.0,0.41845912674041796,7.2037880420684814,,,
v1_transformer,16,0.0003,0.0001,0.0,2.0,0.41845912674041796,7.214849948883057,,,
v1_transformer,16,0.0003,0.0001,0.1,1.0,0.41845912674041796,9.185001611709595,,,
v1_transformer,16,0.0003,0.0001,0.1,2.0,0.41845912674041796,9.16948938369751,,,
v1_transformer,16,0.001,1e-05,0.0,1.0,0.41845912674041796,7.073376893997192,,,
v1_transformer,16,0.001,1e-05,0.0,2.0,0.41845912674041796,7.08587384223938,,,
v1_transformer,16,0.001,1e-05,0.1,1.0,0.41845912674041796,9.15474557876587,,,
v1_transformer,16,0.001,1e-05,0.1,2.0,0.41845912674041796,9.179994821548462,,,
v1_transformer,16,0.001,0.0001,0.0,1.0,0.41845912674041796,7.099019527435303,,,
v1_transformer,16,0.001,0.0001,0.0,2.0,0.41845912674041796,7.110414743423462,,,
v1_transformer,16,0.001,0.0001,0.1,1.0,0.41845912674041796,9.18801236152649,,,
v1_transformer,16,0.001,0.0001,0.1,2.0,0.41845912674041796,9.102679967880249,,,
v1_transformer,32,0.0003,1e-05,0.0,1.0,0.41845912674041796,14.309346675872803,,,
v1_transformer,32,0.0003,1e-05,0.0,2.0,0.41845912674041796,13.87123966217041,,,
v1_transformer,32,0.0003,1e-05,0.1,1.0,0.41845912674041796,15.021117925643921,,,
v1_transformer,32,0.0003,1e-05,0.1,2.0,0.41845912674041796,14.115905523300171,,,
v1_transformer,32,0.0003,0.0001,0.0,1.0,0.41845912674041796,11.74356484413147,,,
v1_transformer,32,0.0003,0.0001,0.0,2.0,0.41845912674041796,11.683840036392212,,,
v1_transformer,32,0.0003,0.0001,0.1,1.0,0.41845912674041796,13.808731317520142,,,
v1_transformer,32,0.0003,0.0001,0.1,2.0,0.41845912674041796,13.703938961029053,,,
v1_transformer,32,0.001,1e-05,0.0,1.0,0.41845912674041796,11.776799440383911,,,
v1_transformer,32,0.001,1e-05,0.0,2.0,0.41845912674041796,11.63092041015625,,,
v1_transformer,32,0.001,1e-05,0.1,1.0,0.41845912674041796,13.697617769241333,,,
v1_transformer,32,0.001,1e-05,0.1,2.0,0.41845912674041796,13.638182163238525,,,
v1_transformer,32,0.001,0.0001,0.0,1.0,0.41845912674041796,11.727007627487183,,,
v1_transformer,32,0.001,0.0001,0.0,2.0,0.41845912674041796,11.561610221862793,,,
v1_transformer,32,0.001,0.0001,0.1,1.0,0.41845912674041796,13.703502416610718,,,
v1_transformer,32,0.001,0.0001,0.1,2.0,0.41845912674041796,13.599313020706177,,,
v1_transformer,64,0.0003,1e-05,0.0,1.0,0.41845912674041796,27.53713369369507,,,
v1_transformer,64,0.0003,1e-05,0.0,2.0,0.41845912674041796,22.81638193130493,,,
v1_transformer,64,0.0003,1e-05,0.1,1.0,0.41845912674041796,23.90107822418213,,,
v1_transformer,64,0.0003,1e-05,0.1,2.0,0.41845912674041796,23.816361904144287,,,
v1_transformer,64,0.0003,0.0001,0.0,1.0,0.41845912674041796,21.64102602005005,,,
v1_transformer,64,0.0003,0.0001,0.0,2.0,0.41845912674041796,21.529290914535522,,,
v1_transformer,64,0.0003,0.0001,0.1,1.0,0.41845912674041796,22.498370885849,,,
v1_transformer,64,0.0003,0.0001,0.1,2.0,0.41845912674041796,21.15208601951599,,,
v1_transformer,64,0.001,1e-05,0.0,1.0,0.41845912674041796,19.11414337158203,,,
v1_transformer,64,0.001,1e-05,0.0,2.0,0.41845912674041796,19.02643132209778,,,
v1_transformer,64,0.001,1e-05,0.1,1.0,0.41845912674041796,21.117476224899292,,,
v1_transformer,64,0.001,1e-05,0.1,2.0,0.41845912674041796,20.875091552734375,,,
v1_transformer,64,0.001,0.0001,0.0,1.0,0.41845912674041796,18.95991086959839,,,
v1_transformer,64,0.001,0.0001,0.0,2.0,0.41845912674041796,18.79028868675232,,,
v1_transformer,64,0.001,0.0001,0.1,1.0,0.41845912674041796,20.58243227005005,,,
v1_transformer,64,0.001,0.0001,0.1,2.0,0.41845912674041796,20.364248991012573,,,
v2_gru,16,0.0003,1e-05,0.0,1.0,0.41845912674041796,1.7698140144348145,,,
v2_gru,16,0.0003,1e-05,0.0,2.0,0.41845912674041796,0.5654025077819824,,,
v2_gru,16,0.0003,1e-05,0.1,1.0,0.41845912674041796,1.5082247257232666,,,
v2_gru,16,0.0003,1e-05,0.1,2.0,0.41845912674041796,1.5216128826141357,,,
v2_gru,16,0.0003,0.0001,0.0,1.0,0.41845912674041796,0.582855224609375,,,
v2_gru,16,0.0003,0.0001,0.0,2.0,0.41845912674041796,0.5657439231872559,,,
v2_gru,16,0.0003,0.0001,0.1,1.0,0.41845912674041796,1.5187559127807617,,,
v2_gru,16,0.0003,0.0001,0.1,2.0,0.41845912674041796,1.5266852378845215,,,
v2_gru,16,0.001,1e-05,0.0,1.0,0.41845912674041796,0.5671312808990479,,,
v2_gru,16,0.001,1e-05,0.0,2.0,0.41845912674041796,0.5834355354309082,,,
v2_gru,16,0.001,1e-05,0.1,1.0,0.41845912674041796,1.4980058670043945,,,
v2_gru,16,0.001,1e-05,0.1,2.0,0.41845912674041796,1.4901866912841797,,,
v2_gru,16,0.001,0.0001,0.0,1.0,0.41845912674041796,0.5875887870788574,,,
v2_gru,16,0.001,0.0001,0.0,2.0,0.41845912674041796,0.5713376998901367,,,
v2_gru,16,0.001,0.0001,0.1,1.0,0.41845912674041796,1.5030100345611572,,,
v2_gru,16,0.001,0.0001,0.1,2.0,0.41845912674041796,1.4993715286254883,,,
v2_gru,32,0.0003,1e-05,0.0,1.0,0.41845912674041796,0.7535698413848877,,,
v2_gru,32,0.0003,1e-05,0.0,2.0,0.41845912674041796,0.7340013980865479,,,
v2_gru,32,0.0003,1e-05,0.1,1.0,0.41845912674041796,1.6819498538970947,,,
v2_gru,32,0.0003,1e-05,0.1,2.0,0.41845912674041796,1.6637725830078125,,,
v2_gru,32,0.0003,0.0001,0.0,1.0,0.41845912674041796,0.73958420753479,,,
v2_gru,32,0.0003,0.0001,0.0,2.0,0.41845912674041796,0.7305221557617188,,,
v2_gru,32,0.0003,0.0001,0.1,1.0,0.41845912674041796,1.6481704711914062,,,
v2_gru,32,0.0003,0.0001,0.1,2.0,0.41845912674041796,1.6388802528381348,,,
v2_gru,32,0.001,1e-05,0.0,1.0,0.41845912674041796,0.730797529220581,,,
v2_gru,32,0.001,1e-05,0.0,2.0,0.41845912674041796,0.7392921447753906,,,
v2_gru,32,0.001,1e-05,0.1,1.0,0.41845912674041796,1.6591269969940186,,,
v2_gru,32,0.001,1e-05,0.1,2.0,0.41845912674041796,1.6573433876037598,,,
v2_gru,32,0.001,0.0001,0.0,1.0,0.41845912674041796,0.7179996967315674,,,
v2_gru,32,0.001,0.0001,0.0,2.0,0.41845912674041796,0.7197859287261963,,,
v2_gru,32,0.001,0.0001,0.1,1.0,0.41845912674041796,1.6623148918151855,,,
v2_gru,32,0.001,0.0001,0.1,2.0,0.41845912674041796,1.6500897407531738,,,
v2_gru,64,0.0003,1e-05,0.0,1.0,0.41845912674041796,1.0305168628692627,,,
v2_gru,64,0.0003,1e-05,0.0,2.0,0.41845912674041796,0.9702591896057129,,,
v2_gru,64,0.0003,1e-05,0.1,1.0,0.41845912674041796,1.9216351509094238,,,
v2_gru,64,0.0003,1e-05,0.1,2.0,0.41845912674041796,1.9164044857025146,,,
v2_gru,64,0.0003,0.0001,0.0,1.0,0.41845912674041796,0.9712319374084473,,,
v2_gru,64,0.0003,0.0001,0.0,2.0,0.41845912674041796,0.9858295917510986,,,
v2_gru,64,0.0003,0.0001,0.1,1.0,0.41845912674041796,1.898542881011963,,,
v2_gru,64,0.0003,0.0001,0.1,2.0,0.41845912674041796,1.9021649360656738,,,
v2_gru,64,0.001,1e-05,0.0,1.0,0.41845912674041796,0.9899108409881592,,,
v2_gru,64,0.001,1e-05,0.0,2.0,0.41845912674041796,0.9874305725097656,,,
v2_gru,64,0.001,1e-05,0.1,1.0,0.41845912674041796,1.8848950862884521,,,
v2_gru,64,0.001,1e-05,0.1,2.0,0.41845912674041796,1.9072306156158447,,,
v2_gru,64,0.001,0.0001,0.0,1.0,0.41845912674041796,0.9614906311035156,,,
v2_gru,64,0.001,0.0001,0.0,2.0,0.41845912674041796,0.954521894454956,,,
v2_gru,64,0.001,0.0001,0.1,1.0,0.41845912674041796,1.896695613861084,,,
v2_gru,64,0.001,0.0001,0.1,2.0,0.41845912674041796,1.913841962814331,,,
v3_mlp,,0.0003,1e-05,0.0,1.0,0.41845912674041796,0.9203708171844482,"(16, 16)",,
v3_mlp,,0.0003,1e-05,0.0,2.0,0.41845912674041796,0.9089710712432861,"(16, 16)",,
v3_mlp,,0.0003,1e-05,0.1,1.0,0.41845912674041796,1.846982479095459,"(16, 16)",,
v3_mlp,,0.0003,1e-05,0.1,2.0,0.41845912674041796,1.8532624244689941,"(16, 16)",,
v3_mlp,,0.0003,0.0001,0.0,1.0,0.41845912674041796,0.9130294322967529,"(16, 16)",,
v3_mlp,,0.0003,0.0001,0.0,2.0,0.41845912674041796,0.9094016551971436,"(16, 16)",,
v3_mlp,,0.0003,0.0001,0.1,1.0,0.41845912674041796,1.8547742366790771,"(16, 16)",,
v3_mlp,,0.0003,0.0001,0.1,2.0,0.41845912674041796,1.8482234477996826,"(16, 16)",,
