variant,hidden,lr,weight_decay,dropout,delta_max,dev_imp_wt_ll,seconds,mlp_hidden,rank,cross_dim
v1_transformer,16,0.0003,1e-05,0.0,1.0,0.6062854015582292,24.397422790527344,,,
v1_transformer,16,0.0003,1e-05,0.0,2.0,0.6062828522756064,24.226051568984985,,,
v1_transformer,16,0.0003,1e-05,0.1,1.0,0.6062854199774426,30.178100109100342,,,
v1_transformer,16,0.0003,1e-05,0.1,2.0,0.6062828893970343,30.178414344787598,,,
v1_transformer,16,0.0003,0.0001,0.0,1.0,0.6062854665455549,24.243526935577393,,,
v1_transformer,16,0.0003,0.0001,0.0,2.0,0.6062829741246432,24.164116144180298,,,
v1_transformer,16,0.0003,0.0001,0.1,1.0,0.6062854846477878,30.132609605789185,,,
v1_transformer,16,0.0003,0.0001,0.1,2.0,0.6062830101808071,30.110376834869385,,,
v1_transformer,16,0.001,1e-05,0.0,1.0,0.6062799762406657,24.29533576965332,,,
v1_transformer,16,0.001,1e-05,0.0,2.0,0.6062794521454415,24.294239282608032,,,
v1_transformer,16,0.001,1e-05,0.1,1.0,0.606280042512493,30.13584589958191,,,
v1_transformer,16,0.001,1e-05,0.1,2.0,0.6062795876563282,30.20063281059265,,,
v1_transformer,16,0.001,0.0001,0.0,1.0,0.6062804310268851,24.364102840423584,,,
v1_transformer,16,0.001,0.0001,0.0,2.0,0.6062796325899442,24.38997220993042,,,
v1_transformer,16,0.001,0.0001,0.1,1.0,0.6062804928049974,30.235992670059204,,,
v1_transformer,16,0.001,0.0001,0.1,2.0,0.6062797546661256,30.170177936553955,,,
v1_transformer,32,0.0003,1e-05,0.0,1.0,0.606287269776598,37.186304330825806,,,
v1_transformer,32,0.0003,1e-05,0.0,2.0,0.6062863029980949,37.24003863334656,,,
v1_transformer,32,0.0003,1e-05,0.1,1.0,0.6062873726022778,43.14053273200989,,,
v1_transformer,32,0.0003,1e-05,0.1,2.0,0.6062864778183371,43.128461837768555,,,
v1_transformer,32,0.0003,0.0001,0.0,1.0,0.6062873333725627,37.32769584655762,,,
v1_transformer,32,0.0003,0.0001,0.0,2.0,0.6062864464312394,37.26261353492737,,,
v1_transformer,32,0.0003,0.0001,0.1,1.0,0.6062874292886157,43.159512758255005,,,
v1_transformer,32,0.0003,0.0001,0.1,2.0,0.6062866094619426,43.143391132354736,,,
v1_transformer,32,0.001,1e-05,0.0,1.0,0.6062852914488354,37.3531129360199,,,
v1_transformer,32,0.001,1e-05,0.0,2.0,0.6062886096159069,30.25804901123047,,,
v1_transformer,32,0.001,1e-05,0.1,1.0,0.6062854845218694,43.16290760040283,,,
v1_transformer,32,0.001,1e-05,0.1,2.0,0.6062886096159069,35.03207874298096,,,
v1_transformer,32,0.001,0.0001,0.0,1.0,0.6062858033397905,37.41980504989624,,,
v1_transformer,32,0.001,0.0001,0.0,2.0,0.6062886096159069,30.382721185684204,,,
v1_transformer,32,0.001,0.0001,0.1,1.0,0.606286007794444,43.227588176727295,,,
v1_transformer,32,0.001,0.0001,0.1,2.0,0.6062886096159069,35.0071439743042,,,
v1_transformer,64,0.0003,1e-05,0.0,1.0,0.6062875268786259,61.22764992713928,,,
v1_transformer,64,0.0003,1e-05,0.0,2.0,0.606286626870229,61.13508081436157,,,
v1_transformer,64,0.0003,1e-05,0.1,1.0,0.6062875391462867,67.1012020111084,,,
v1_transformer,64,0.0003,1e-05,0.1,2.0,0.6062866526280333,67.06177806854248,,,
v1_transformer,64,0.0003,0.0001,0.0,1.0,0.6062875849677719,61.06802988052368,,,
v1_transformer,64,0.0003,0.0001,0.0,2.0,0.6062867750989462,61.2007360458374,,,
v1_transformer,64,0.0003,0.0001,0.1,1.0,0.6062875980768615,67.07630181312561,,,
v1_transformer,64,0.0003,0.0001,0.1,2.0,0.606286801601945,66.97728133201599,,,
v1_transformer,64,0.001,1e-05,0.0,1.0,0.6062852004619836,60.94536828994751,,,
v1_transformer,64,0.001,1e-05,0.0,2.0,0.6062859541211633,61.20551800727844,,,
v1_transformer,64,0.001,1e-05,0.1,1.0,0.6062852462157156,66.8535647392273,,,
v1_transformer,64,0.001,1e-05,0.1,2.0,0.6062860848505184,66.89658546447754,,,
v1_transformer,64,0.001,0.0001,0.0,1.0,0.6062859001035246,61.115217447280884,,,
v1_transformer,64,0.001,0.0001,0.0,2.0,0.6062857738526451,61.3967547416687,,,
v1_transformer,64,0.001,0.0001,0.1,1.0,0.6062859462220589,67.05582451820374,,,
v1_transformer,64,0.001,0.0001,0.1,2.0,0.6062858762626143,66.92826199531555,,,
v2_gru,16,0.0003,1e-05,0.0,1.0,0.6062864457709478,1.9187672138214111,,,
v2_gru,16,0.0003,1e-05,0.0,2.0,0.6062849869208785,1.9306530952453613,,,
v2_gru,16,0.0003,1e-05,0.1,1.0,0.606286435134611,4.768393516540527,,,
v2_gru,16,0.0003,1e-05,0.1,2.0,0.6062849649621193,4.7843451499938965,,,
v2_gru,16,0.0003,0.0001,0.0,1.0,0.6062866050548192,1.9146795272827148,,,
v2_gru,16,0.0003,0.0001,0.0,2.0,0.6062852435985231,1.9404714107513428,,,
v2_gru,16,0.0003,0.0001,0.1,1.0,0.6062865941771345,4.880958080291748,,,
v2_gru,16,0.0003,0.0001,0.1,2.0,0.6062852218643486,4.747335910797119,,,
v2_gru,16,0.001,1e-05,0.0,1.0,0.6062828791456797,1.9347054958343506,,,
v2_gru,16,0.001,1e-05,0.0,2.0,0.60628616632246,1.8948838710784912,,,
v2_gru,16,0.001,1e-05,0.1,1.0,0.6062828432470498,4.755892753601074,,,
v2_gru,16,0.001,1e-05,0.1,2.0,0.6062860869382174,4.771622657775879,,,
v2_gru,16,0.001,0.0001,0.0,1.0,0.6062837221053656,1.9274120330810547,,,
v2_gru,16,0.001,0.0001,0.0,2.0,0.6062866689756728,1.9233155250549316,,,
v2_gru,16,0.001,0.0001,0.1,1.0,0.606283686892886,4.764300346374512,,,
v2_gru,16,0.001,0.0001,0.1,2.0,0.6062865892684097,4.821837902069092,,,
v2_gru,32,0.0003,1e-05,0.0,1.0,0.6062886096159069,1.9874112606048584,,,
v2_gru,32,0.0003,1e-05,0.0,2.0,0.6062886096159069,1.9885058403015137,,,
v2_gru,32,0.0003,1e-05,0.1,1.0,0.6062886096159069,4.434300661087036,,,
