dataset,day_index,role,previously_inspected,reused_in_rolling_analysis,n_impressions,empirical_ctr
criteo,0,base_model_training,True,False,572035,0.3483003662363317
criteo,1,base_model_training,True,False,556092,0.343858570164649
criteo,2,base_model_training,True,False,530015,0.35026555852192864
criteo,3,base_model_training,True,False,498596,0.35887371739845486
criteo,4,base_model_training,True,False,591180,0.3554957880848473
criteo,5,base_model_training,True,False,638165,0.3399763384077786
criteo,6,base_model_training,True,False,580979,0.3453515531542448
criteo,7,base_model_training,True,False,546166,0.3481102814895105
criteo,8,base_model_training,True,False,564794,0.34906355237484815
criteo,9,base_model_training,True,False,500383,0.3591628812329755
criteo,10,base_model_training,True,False,460907,0.3731750656857023
criteo,11,base_model_training,True,False,574411,0.36592613999383716
criteo,12,base_model_training,True,False,609323,0.34933032234135264
criteo,13,base_model_training,True,False,553089,0.3572029094774982
criteo,14,base_model_training,True,False,522063,0.3591156622859693
criteo,15,base_model_training,True,False,505808,0.36428249454338407
criteo,16,adapter_training_and_hyperparameter_validation,True,True,477680,0.3740663205493217
criteo,17,adapter_training_and_hyperparameter_validation,True,True,450258,0.38313367002918325
criteo,18,adapter_training_and_hyperparameter_validation,True,True,538532,0.3789765510684602
criteo,19,adapter_training_and_hyperparameter_validation,True,True,582350,0.3644560831115309
criteo,20,adapter_training_and_hyperparameter_validation,True,True,552965,0.36695450887488357
criteo,21,adapter_training_and_hyperparameter_validation,True,True,562085,0.3661047706307765
criteo,22,original_locked_test,True,False,528347,0.3691797246885096
criteo,23,original_locked_test,True,False,506792,0.36817668787194746
criteo,24,original_locked_test,True,False,436408,0.3778940807684552
criteo,25,original_locked_test,True,False,507128,0.37108777271221466
criteo,26,original_locked_test,True,False,581336,0.3546055981394581
criteo,27,original_locked_test,True,False,518487,0.35862037042394507
criteo,28,original_locked_test,True,False,459375,0.3668614965986395
criteo,29,original_locked_test,True,False,493827,0.37491469684727646
criteo,30,original_locked_test,True,False,468451,0.37718993021682096
avazu,0,base_model_training,True,False,826374,0.17451662322386716
avazu,1,base_model_training,True,False,1068476,0.1575449518753814
avazu,2,base_model_training,True,False,772758,0.1817528902968329
avazu,3,base_model_training,True,False,667973,0.1749516821787707
avazu,4,base_model_training,True,False,672999,0.1825054717763325
avazu,5,adapter_training_and_hyperparameter_validation,True,True,766066,0.18280017648609911
avazu,6,adapter_training_and_hyperparameter_validation,True,True,644778,0.1821588205552919
avazu,7,original_locked_test,True,True,1057593,0.15208497030521193
avazu,8,original_locked_test,True,True,767339,0.15665436006771452
avazu,9,original_locked_test,True,True,843496,0.16955267126340848
