dataset,outer_day,cross_dim,lr,weight_decay,inner_val_days,score,n_folds
avazu,5,16,0.0003,1e-05,"[2, 3, 4]",0.4243123534324194,3
avazu,5,16,0.0003,0.0001,"[2, 3, 4]",0.4243123868352547,3
avazu,5,16,0.001,1e-05,"[2, 3, 4]",0.42436302573704343,3
avazu,5,16,0.001,0.0001,"[2, 3, 4]",0.4243630330955374,3
avazu,5,32,0.0003,1e-05,"[2, 3, 4]",0.424174328432998,3
avazu,5,32,0.0003,0.0001,"[2, 3, 4]",0.42417434455733716,3
avazu,5,32,0.001,1e-05,"[2, 3, 4]",0.424344227460633,3
avazu,5,32,0.001,0.0001,"[2, 3, 4]",0.424344227460633,3
avazu,5,64,0.0003,1e-05,"[2, 3, 4]",0.42437002181239397,3
avazu,5,64,0.0003,0.0001,"[2, 3, 4]",0.4243700226628127,3
avazu,5,64,0.001,1e-05,"[2, 3, 4]",0.424344227460633,3
avazu,5,64,0.001,0.0001,"[2, 3, 4]",0.424344227460633,3
avazu,6,16,0.0003,1e-05,"[3, 4, 5]",0.42123845979478847,3
avazu,6,16,0.0003,0.0001,"[3, 4, 5]",0.42123846526492503,3
avazu,6,16,0.001,1e-05,"[3, 4, 5]",0.4212523963615568,3
avazu,6,16,0.001,0.0001,"[3, 4, 5]",0.42125240372005074,3
avazu,6,32,0.0003,1e-05,"[3, 4, 5]",0.42121709183965805,3
avazu,6,32,0.0003,0.0001,"[3, 4, 5]",0.4212170956589758,3
avazu,6,32,0.001,1e-05,"[3, 4, 5]",0.4212335980851463,3
avazu,6,32,0.001,0.0001,"[3, 4, 5]",0.4212335980851463,3
avazu,6,64,0.0003,1e-05,"[3, 4, 5]",0.42117295120072223,3
avazu,6,64,0.0003,0.0001,"[3, 4, 5]",0.4211729532674117,3
avazu,6,64,0.001,1e-05,"[3, 4, 5]",0.4212335980851463,3
avazu,6,64,0.001,0.0001,"[3, 4, 5]",0.4212335980851463,3
avazu,7,16,0.0003,1e-05,"[4, 5, 6]",0.4219881405183264,3
avazu,7,16,0.0003,0.0001,"[4, 5, 6]",0.42198814885005054,3
avazu,7,16,0.001,1e-05,"[4, 5, 6]",0.42202978875581126,3
avazu,7,16,0.001,0.0001,"[4, 5, 6]",0.4220297961143052,3
avazu,7,32,0.0003,1e-05,"[4, 5, 6]",0.4219171221489515,3
avazu,7,32,0.0003,0.0001,"[4, 5, 6]",0.4219171328971563,3
avazu,7,32,0.001,1e-05,"[4, 5, 6]",0.42201099047940077,3
avazu,7,32,0.001,0.0001,"[4, 5, 6]",0.42201099047940077,3
avazu,7,64,0.0003,1e-05,"[4, 5, 6]",0.4218684297769067,3
avazu,7,64,0.0003,0.0001,"[4, 5, 6]",0.4218684343939751,3
avazu,7,64,0.001,1e-05,"[4, 5, 6]",0.42201099047940077,3
avazu,7,64,0.001,0.0001,"[4, 5, 6]",0.42201099047940077,3
avazu,8,16,0.0003,1e-05,"[5, 6, 7]",0.40602059836843907,3
avazu,8,16,0.0003,0.0001,"[5, 6, 7]",0.40602070437628807,3
avazu,8,16,0.001,1e-05,"[5, 6, 7]",0.406152086755273,3
avazu,8,16,0.001,0.0001,"[5, 6, 7]",0.40615883631320276,3
avazu,8,32,0.0003,1e-05,"[5, 6, 7]",0.40622245284695263,3
avazu,8,32,0.0003,0.0001,"[5, 6, 7]",0.4062225817393945,3
avazu,8,32,0.001,1e-05,"[5, 6, 7]",0.40620098165247837,3
avazu,8,32,0.001,0.0001,"[5, 6, 7]",0.40620098165247837,3
avazu,8,64,0.0003,1e-05,"[5, 6, 7]",0.40612625551456016,3
avazu,8,64,0.0003,0.0001,"[5, 6, 7]",0.4061272872624817,3
avazu,8,64,0.001,1e-05,"[5, 6, 7]",0.40620098165247837,3
avazu,8,64,0.001,0.0001,"[5, 6, 7]",0.40620098165247837,3
avazu,9,16,0.0003,1e-05,"[6, 7, 8]",0.39256102944642784,3
avazu,9,16,0.0003,0.0001,"[6, 7, 8]",0.39256122584865416,3
avazu,9,16,0.001,1e-05,"[6, 7, 8]",0.39268075264591396,3
avazu,9,16,0.001,0.0001,"[6, 7, 8]",0.3926876615590178,3
avazu,9,32,0.0003,1e-05,"[6, 7, 8]",0.3927720472140895,3
avazu,9,32,0.0003,0.0001,"[6, 7, 8]",0.3927721792520548,3
avazu,9,32,0.001,1e-05,"[6, 7, 8]",0.39269125104006425,3
avazu,9,32,0.001,0.0001,"[6, 7, 8]",0.39269123918101106,3
avazu,9,64,0.0003,1e-05,"[6, 7, 8]",0.3928090678421951,3
avazu,9,64,0.0003,0.0001,"[6, 7, 8]",0.39281011894131046,3
avazu,9,64,0.001,1e-05,"[6, 7, 8]",0.3929135797148133,3
avazu,9,64,0.001,0.0001,"[6, 7, 8]",0.39291346032704455,3
