dataset,outer_day,cross_dim,lr,weight_decay,inner_val_days,score,n_folds
criteo,16,16,0.0003,1e-05,"[13, 14, 15]",0.6043580112789071,3
criteo,16,16,0.0003,0.0001,"[13, 14, 15]",0.6043580563015729,3
criteo,16,16,0.001,1e-05,"[13, 14, 15]",0.6042952588342465,3
criteo,16,16,0.001,0.0001,"[13, 14, 15]",0.6042959885136034,3
criteo,16,32,0.0003,1e-05,"[13, 14, 15]",0.6042861732619196,3
criteo,16,32,0.0003,0.0001,"[13, 14, 15]",0.6042862219857983,3
criteo,16,32,0.001,1e-05,"[13, 14, 15]",0.6042471990914936,3
criteo,16,32,0.001,0.0001,"[13, 14, 15]",0.6042545484564755,3
criteo,16,64,0.0003,1e-05,"[13, 14, 15]",0.6043682004158656,3
criteo,16,64,0.0003,0.0001,"[13, 14, 15]",0.6043682215940476,3
criteo,16,64,0.001,1e-05,"[13, 14, 15]",0.6043194943441308,3
criteo,16,64,0.001,0.0001,"[13, 14, 15]",0.6043195492940404,3
criteo,17,16,0.0003,1e-05,"[14, 15, 16]",0.6066224720785495,3
criteo,17,16,0.0003,0.0001,"[14, 15, 16]",0.6066236655820619,3
criteo,17,16,0.001,1e-05,"[14, 15, 16]",0.6066080756605441,3
criteo,17,16,0.001,0.0001,"[14, 15, 16]",0.6066106101392009,3
criteo,17,32,0.0003,1e-05,"[14, 15, 16]",0.60659243529794,3
criteo,17,32,0.0003,0.0001,"[14, 15, 16]",0.6065925390483851,3
criteo,17,32,0.001,1e-05,"[14, 15, 16]",0.6065507675719773,3
criteo,17,32,0.001,0.0001,"[14, 15, 16]",0.6065586738056498,3
criteo,17,64,0.0003,1e-05,"[14, 15, 16]",0.6067338424285805,3
criteo,17,64,0.0003,0.0001,"[14, 15, 16]",0.6067339050877094,3
criteo,17,64,0.001,1e-05,"[14, 15, 16]",0.6065863616258356,3
criteo,17,64,0.001,0.0001,"[14, 15, 16]",0.606587097069348,3
criteo,18,16,0.0003,1e-05,"[15, 16, 17]",0.611009783880164,3
criteo,18,16,0.0003,0.0001,"[15, 16, 17]",0.6110109808032831,3
criteo,18,16,0.001,1e-05,"[15, 16, 17]",0.6109290548915398,3
criteo,18,16,0.001,0.0001,"[15, 16, 17]",0.6109335679532532,3
criteo,18,32,0.0003,1e-05,"[15, 16, 17]",0.6110395563769281,3
criteo,18,32,0.0003,0.0001,"[15, 16, 17]",0.6110400055742952,3
criteo,18,32,0.001,1e-05,"[15, 16, 17]",0.6109392111493314,3
criteo,18,32,0.001,0.0001,"[15, 16, 17]",0.6110582992993423,3
criteo,18,64,0.0003,1e-05,"[15, 16, 17]",0.611062062355245,3
criteo,18,64,0.0003,0.0001,"[15, 16, 17]",0.6110621572376894,3
